personLabel
Vijay Vazirani
Frieder Nake
Charles Colbourn
Ipke Wachsmuth
Christoph Meinel
Michael Loceff
Michael Kölling
Luca Trevisan
Heinz Rutishauser
Nick Pippenger
David C. Evans
Alan Ashton
David Haussler
Phil Moorby
Bernhard Nebel
John Fairclough
Mary Ann Horton
Norbert Fuhr
Daniel A. Keim
Christof Ebert
T. V. Raman
Harold Cohen
David G. Kirkpatrick
Ralph Griswold
Joe Celko
Klaus Dittrich
Hans-Peter Seidel
Franz Baader
David May
Hartmut Surmann
Maynard V. Olson
James Goodnight
John G.F. Francis
Jürgen Schmidhuber
Anant Agarwal
Ike Nassi
Kent Beck
John McCarthy
Jef Raskin
Alonzo Church
Alan Kay
Vint Cerf
Kristen Nygaard
Ole-Johan Dahl
John Backus
Eric Schmidt
Yukihiro Matsumoto
Robert Cailliau
David H. Bailey
Bo Leuf
Paul Kunz
Ralph Johnson
John Vlissides
Johan Håstad
Eugene Myers
Michael Stonebraker
Larry Ellison
Claude Shannon
Ian Murdock
Jay Wright Forrester
Sergey Brin
Seymour Cray
Robert Metcalfe
Lotfi A. Zadeh
Rasmus Lerdorf
Scott E. Fahlman
Jon Stephenson von Tetzchner
Janus Friis
Dan Ingalls
Franz Alt
Stephen R. Bourne
Steve Furber
Paul Vixie
J. C. R. Licklider
Ingo Molnár
Iosif Sifakis
William Kahan
Fred Cohen
David A. Huffman
Tom Kilburn
Maurice Karnaugh
Bill Atkinson
Ron Jeffries
James Rumbaugh
Blake Ross
Róbert Szelepcsényi
Jeffrey David Ullman
Juraj Hromkovič
Seymour Ginsburg
David E. Goldberg
Dave Cutler
David S. Johnson
Grady Booch
Umesh Vazirani
Marshall Kirk McKusick
Scott Forstall
Rodney Brooks
Irit Dinur
Shmuel Safra
Shlomo Moran
Tim Berners-Lee
Jimmy Wales

Ken Jennings
Julian Assange
Eugene Kaspersky
Larry Page
Bill Gates
Alan Turing
Ada Lovelace
Kevin Mitnick
Deborah Estrin
Elizabeth J. Feinler
Valerie Aurora
Mary Gardiner
Sally Floyd
Sandra Lerner
Pattie Maes
Jude Milhon
Nicola Pellow
Radia Perlman
Ping Fu
Joyce K. Reynolds
Jaime Levy
Ward Cunningham
Edsger W. Dijkstra
Noam Chomsky
