algoritmoLabel
delta encoding
forward–backward algorithm
Dijkstra's algorithm
path tracing
Viterbi algorithm
collaborative filtering
simplex algorithm
Zassenhaus algorithm
Time-based One-time Password Algorithm
PageRank
diffusing update algorithm
genetic algorithm
Cox–Zucker machine
Euclidean algorithm
Computus
random forest
A-law algorithm
Hungarian algorithm
Ford–Fulkerson algorithm
Jenks natural breaks optimization
AVL tree
μ-law algorithm
memetic algorithm
supervised learning
Shifting nth root algorithm
Adam7 algorithm
pruning
felicific calculus
local outlier factor
CoDel
middle-square method
Prim's algorithm
payback period rule
Gram-Schmidt process
sequitur algorithm
Aitken's delta-squared process
Levenshtein distance
SIMPLE algorithm
Christofides algorithm
CMA-ES
Apriori algorithm
cross-validation
BKM algorithm
IntelliSense
push–relabel maximum flow algorithm
Canny edge detector
mark-compact algorithm
Liang–Barsky algorithm
Quine–McCluskey algorithm
MTD-f
binary GCD algorithm
BCJR algorithm
selection (genetic algorithm)
Phong shading
Nagle's algorithm
perceptron
Yarrow algorithm
Dinic's algorithm
Barabási–Albert model
Minimax
Voronoi diagram
scale-invariant feature transform
Cristian's algorithm
bootstrap aggregating
Barnes–Hut simulation
Baum–Welch algorithm
naive Bayes classifier
Bayesian spam filtering
Berlekamp's algorithm
Berlekamp–Massey algorithm
Glushkov's construction algorithm
Kalman filter
exponentiation by squaring
Bluestein's FFT algorithm
Blum–Micali algorithm
branch and bound
Cahn–Ingold–Prelog priority rules
Configuration interaction
direct linear transformation
SuperFetch
Metropolis–Hastings algorithm
Luhn algorithm
Lucas–Kanade method
painter's algorithm
Horner's method
Pollard's rho algorithm
Scanline rendering
watershed
God's algorithm
CYK algorithm
Buchberger's algorithm
Buddy memory allocation
C4.5 algorithm
classification and regression tree
Deutsch–Jozsa algorithm
Common Scrambling Algorithm
HITS algorithm
method of undetermined coefficients
density functional theory
Cayley–Purser algorithm
census transform
Richardson extrapolation
Clenshaw algorithm
British Museum algorithm
k-nearest neighbors algorithm
Coupled cluster
Petrick's method
seam carving
Cuthill–McKee algorithm
Davis–Putnam algorithm
De Casteljau's algorithm
Gibbs sampling
Newell's algorithm
shading
shunting-yard algorithm
diamond-square algorithm
Savitzky–Golay smoothing filter
Ramer–Douglas–Peucker algorithm
SGI algorithm
Earley parser
Hebbian rule
Edmonds–Karp algorithm
Floyd–Steinberg dithering
second quantization
first quantization
extended Euclidean algorithm
Unicode Bidirectional Algorithm
nearest neighbour algorithm
Risch algorithm
Expectiminimax tree
Felzenszwalb-Huttenlocher Algorithm
accounting rate of return
symmetric Lanczos algorithm
tabu search
Levenberg–Marquardt algorithm
least mean squares filter
Unicode Segmentation Algorithm
Fourier–Motzkin elimination
Goertzel algorithm
Unicode collation algorithm
Gauss–Newton algorithm
chromosome
Hopcroft–Karp algorithm
Samuelson–Berkowitz algorithm
butterfly diagram
summed-area table
Gutmann method
Floyd Cycle Detection Algorithm
maze solving algorithm
Hilltop algorithm
Hirschberg's algorithm
ID3 algorithm
Johnson's rule
Roberts algorithm
KSTEM
Edmonds' algorithm
Pohlig–Hellman algorithm
investment costs comparison calculation
approximate string-matching algorithm
Sutherland–Hodgman algorithm
LRU
Marching cubes
Markov algorithm
Pollard's kangaroo algorithm
median cut
Cohen–Sutherland algorithm
Tomasulo algorithm
Pollard's p − 1 algorithm
null encryption
Tarjan's strongly connected components algorithm
Rete algorithm
Nussinov algorithm
Odds algorithm
Frank–Wolfe algorithm
Bron–Kerbosch algorithm
XTR
particle swarm optimization
Cesaro summation
Rijndael mix columns
vertical cell decomposition
SURF
Karmarkar's algorithm
Digital differential analyzer
Great Deluge algorithm
Bareiss algorithm
bat algorithm
Batcher odd–even mergesort
Bayesian inference using Gibbs sampling
Bayesian tool for methylation analysis
Beeman's algorithm
Beier–Neely morphing algorithm
Benson's algorithm
Berendsen thermostat
Berlekamp–Zassenhaus algorithm
Berlekamp–Welch algorithm
Reverse-delete algorithm
Block Lanczos algorithm for nullspace of a matrix over a finite field
Block Wiedemann algorithm
Bowyer–Watson algorithm
Bruun's FFT algorithm
Bulirsch–Stoer algorithm
Buzen's algorithm
C-Link
CJCSG
CLEAN
CN2 algorithm
CONQUEST
Cascade algorithm
Cellular evolutionary algorithm
certification path validation algorithm
Chaff algorithm
Chaitin's algorithm
chase algorithm
Cheney's algorithm
Chew's second algorithm
Chien search
Cipolla's algorithm
Client Puzzle Protocol
Coffman–Graham algorithm
Compound TCP
Condensation algorithm
Cone algorithm
Consistent Overhead Byte Stuffing
constraint algorithm
Cooley–Tukey FFT algorithm
Cornacchia's algorithm
covariance intersection
Cracovian
Cultural algorithm
cycle sort
Cyrus–Beck algorithm
Damm algorithm
Day–Stout–Warren algorithm
De Boor's algorithm
Dead-end elimination
Difference-map algorithm
Diffusion map
super-recursive algorithm
Drizzle
Dykstra's projection algorithm
dynamic mode decomposition
Edge disjoint shortest pair algorithm
Elston–Stewart algorithm
Expected linear time MST algorithm
FKT algorithm
FNN algorithm
FastContact
Fast folding algorithm
Faugère's F4 and F5 algorithms
Featherstone's algorithm
feature hashing
Felsenstein's tree-pruning algorithm
Fiduccia-Mattheyses algorithm
Firefly algorithm
First Order Inductive Learner
Forney algorithm
Fortune's algorithm
fuzzy extractor
galley division
Gaussian adaptation
Gerchberg–Saxton algorithm
Gibbs algorithm
Gillespie algorithm
Girvan–Newman algorithm
Gosper's algorithm
greedy coloring
GrowCut algorithm
Guruswami–Sudan list decoding algorithm
HARP
HS algorithm
Happy Eyeballs
Candidate-Elimination Algorithm
Holographic algorithm
Pseudo-polynomial time
hybrid difference scheme
IP forwarding algorithm
In-crowd algorithm
inside–outside algorithm
Island algorithm
Promoter based genetic algorithm
RMPO
Rotating calipers
Schoof–Elkies–Atkin algorithm
Sethi–Ullman algorithm
Tiling
Jenkins–Traub algorithm
Jump-and-Walk algorithm
Korean Certificate-based Digital Signature Algorithm
Kabsch algorithm
Karloff–Zwick algorithm
Knuth's Algorithm X
Kronecker substitution
LEB128
LIRS caching algorithm
LU reduction
LZWL
Lander–Green algorithm
Landweber iteration
"wash, rinse, repeat"
Lehmer's GCD algorithm
Lehmer–Schur algorithm
Lemke's algorithm
Freivalds' algorithm
Wang and Landau algorithm
Lill's method
Lindsey–Fox algorithm
Local Elevation
Local replacement algorithm
local ternary patterns
Luhn mod N algorithm
Luleå algorithm
MCS algorithm
MClone
Manhattan address algorithm
Mehrotra predictor–corrector method
Metropolis light transport
Minimax approximation algorithm
minimum bounding box algorithm
bag-of-words model in computer vision
Mm algorithm
Momel
Multislice
Neuroevolution of augmenting topologies
non-linear iterative partial least squares
One-pass algorithm
Perceptual Speech Quality Measure
Package-merge algorithm
Pantelides algorithm
Parks-McClellan filter design algorithm
Path-based strong component algorithm
Pitch detection algorithm
poker calculator
Polynomial-time algorithm for approximating the volume of convex bodies
prime-factor FFT algorithm
Proxmap sort
prune and search
QRISK
Quality control and genetic algorithms
Quiescence search
RC algorithm
RNA22
RNA integrity number
ROAM
Rader's FFT algorithm
Random walker algorithm
Randomized weighted majority algorithm
Read-copy-update
reassignment method
Reconstruction algorithm
Reeds–Sloane algorithm
Reversible reference system propagation algorithm
Rocchio algorithm
Run-time algorithm specialisation
Ruppert's algorithm
SARSA
SEBAL
SPIKE algorithm
STRIDE
Sardinas–Patterson algorithm
Schreier–Sims algorithm
scoring algorithm
second partial derivative test
Sequence clustering
Sequence step algorithm
Simulated fluorescence process algorithm
Smoothed analysis
Soft output Viterbi algorithm
standard swap
Statistical Region Merging
structure from motion
Sukhotin's algorithm
Suurballe's algorithm
Suzuki-Kasami algorithm
Swendsen–Wang algorithm
TSC-3
Tarski–Kuratowski algorithm
Tate's algorithm
Thompson's construction algorithm
ThreeBallot
tournament sort
Track algorithm
Tunstall coding
Ukkonen's algorithm
Neville's algorithm
VEGAS algorithm
Vatti clipping algorithm
Vector Field Histogram
